==================================================
Recipe (2021-09-26 20:48:45)
==================================================
No,	Type,	Name,	MIN,	MAX,	Data,	Unit,	Address,	Count,	Format,	C
68,	N,	2-1 Ly 옵셋,	-100,	100,	0.00,	mm,	R3126,	1,	0.00,	Q
69,	N,	2-2 Ux 옵셋,	-100,	100,	0.00,	mm,	R3131,	1,	0.00,	Q
70,	N,	2-2 Uy 옵셋,	-100,	100,	0.00,	mm,	R3132,	1,	0.00,	Q
71,	N,	2-2 Lx 옵셋,	-100,	100,	0.00,	mm,	R3129,	1,	0.00,	Q
72,	N,	2-2 Ly 옵셋,	-100,	100,	0.00,	mm,	R3130,	1,	0.00,	Q
73,	-,	,	,	,	,	,	,	,	,	Q
74,	-,	[하중 옵셋],	,	,	,	,	,	,	,	Q
75,	N,	램1-1 하중 옵셋,	-100,	100,	0.0,	kg,	R8021,	1,	0.0,	Q
76,	N,	램1-2 하중 옵셋,	-100,	100,	0.0,	kg,	R8022,	1,	0.0,	Q
77,	N,	램2-1 하중 옵셋,	-100,	100,	0.0,	kg,	R8023,	1,	0.0,	Q
78,	N,	램2-2 하중 옵셋,	-100,	100,	0.0,	kg,	R8024,	1,	0.0,	Q
79,	-,	,	,	,	,	,	,	,	,	Q
80,	-,	[오리엔테이션 옵셋],	,	,	,	,	,	,	,	Q
81,	N,	오리엔' #1-1 옵셋,	-0.50,	0.50,	0.00,	turn,	R3141,	1,	0.00,	Q
82,	N,	오리엔' #1-2 옵셋,	-0.50,	0.50,	0.00,	turn,	R3142,	1,	0.00,	Q
83,	N,	오리엔' #2-1 옵셋,	-0.50,	0.50,	0.00,	turn,	R3143,	1,	0.00,	Q
84,	N,	오리엔' #2-2 옵셋,	-0.50,	0.50,	0.00,	turn,	R3144,	1,	0.00,	Q
85,	-,	,	,	,	,	,	,	,	,	Q
86,	N,	램 스프링 상수 K1 위치,	130,	570,	130.0,	mm,	R3087,	1,	0.0,	Q
87,	N,	램 스프링 상수 K2 위치,	130,	570,	130.0,	mm,	R3088,	1,	0.0,	Q
88,	-,	,	,	,	,	,	,	,	,	Q
89,	-,	,	,	,	,	,	,	,	,	Q
90,	-,	,	,	,	,	,	,	,	,	Q
91,	-,	,	,	,	,	,	,	,	,	Q
92,	-,	,	,	,	,	,	,	,	,	Q
93,	N,	장입로봇,	1,	99,	77,	,	R3091,	1,	0,	Q
94,	N,	취출로봇,	1,	99,	77,	,	R3092,	1,	0,	Q
95,	-,	[마킹기],	,	,	,	,	,	,	,	Q
96,	N,	1번 클램프위치☞,	0,	999,	0.0,	mm,	R102,	1,	0.0,	Q
97,	N,	1번 마킹상승점↑,	-50,	50,	40.0,	mm,	R103,	1,	0.0,	Q
98,	N,	1번 마킹중앙점●,	-50,	70,	74.0,	mm,	R104,	1,	0.0,	Q
99,	N,	1번 마킹하강점↓,	100,	300,	253.0,	mm,	R105,	1,	0.0,	Q
100,	N,	1번 마킹위치  ↔,	0,	300,	227.0,	mm,	R106,	1,	0.0,	Q
101,	N,	2번 클램프위치☞,	0,	999,	0.0,	mm,	R107,	1,	0.0,	Q
102,	N,	2번 마킹상승점↑,	-50,	50,	40.0,	mm,	R108,	1,	0.0,	Q
103,	N,	2번 마킹중앙점●,	-50,	70,	74.0,	mm,	R109,	1,	0.0,	Q
104,	N,	2번 마킹하강점↓,	100,	300,	253.0,	mm,	R110,	1,	0.0,	Q
105,	N,	2번 마킹위치  ↔,	0,	300,	220.0,	mm,	R111,	1,	0.0,	Q
106,	N,	3번 클램프위치☞,	0,	999,	0.0,	mm,	R112,	1,	0.0,	Q
107,	N,	3번 마킹상승점↑,	-50,	50,	40.0,	mm,	R113,	1,	0.0,	Q
108,	N,	3번 마킹중앙점●,	-50,	70,	74.0,	mm,	R114,	1,	0.0,	Q
109,	N,	3번 마킹하강점↓,	100,	300,	246.0,	mm,	R115,	1,	0.0,	Q
110,	N,	3번 마킹위치  ↔,	0,	300,	128.0,	mm,	R116,	1,	0.0,	Q
111,	N,	4번 클램프위치☞,	0,	999,	0.0,	mm,	R117,	1,	0.0,	Q
112,	N,	4번 마킹상승점↑,	-50,	50,	40.0,	mm,	R118,	1,	0.0,	Q
113,	N,	4번 마킹중앙점●,	-50,	70,	74.0,	mm,	R119,	1,	0.0,	Q
114,	N,	4번 마킹하강점↓,	100,	300,	246.0,	mm,	R120,	1,	0.0,	Q
115,	N,	4번 마킹위치  ↔,	0,	300,	142.0,	mm,	R121,	1,	0.0,	Q
116,	N,	5번 클램프위치☞,	0,	999,	0.0,	mm,	R122,	1,	0.0,	Q
117,	N,	5번 마킹상승점↑,	-50,	50,	40.0,	mm,	R123,	1,	0.0,	Q
118,	N,	5번 마킹중앙점●,	-50,	70,	74.0,	mm,	R124,	1,	0.0,	Q
119,	N,	5번 마킹하강점↓,	100,	300,	250.0,	mm,	R125,	1,	0.0,	Q
120,	N,	5번 마킹위치  ↔,	0,	300,	136.0,	mm,	R126,	1,	0.0,	Q
121,	B,	마킹클램프동작,	선택무,	선택유,	선택유,	,	R127,	1,	,	Q
122,	B,	2점 +마킹동작,	선택무,	선택유,	선택무,	,	R128,	1,	,	Q
123,	N,	마킹비젼번호,	0,	31,	1,	번,	R129,	1,	0,	Q
124,	B,	제품AB확인,	OFF,	ON,	OFF,	,	R130,	1,	,	Q
125,	-,	,	,	,	,	,	,	,	,	Q
126,	-,	,	,	,	,	,	,	,	,	Q
127,	-,	,	,	,	,	,	,	,	,	Q
128,	-,	,	,	,	,	,	,	,	,	Q
129,	-,	,	,	,	,	,	,	,	,	Q
130,	B,	쯔빅 옵셋 사용,	사용무,	사용유,	사용무,	,	M5105,	1,	,	Q
131,	-,	,	,	,	,	,	,	,	,	Q
132,	-,	,	,	,	,	,	,	,	,	Q
133,	-,	,	,	,	,	,	,	,	,	Q
134,	-,	,	,	,	,	,	,	,	,	Q
135,	-,	,	,	,	,	,	,	,	,	Q
136,	-,	,	,	,	,	,	,	,	,	Q
137,	-,	,	,	,	,	,	,	,	,	Q
138,	-,	,	,	,	,	,	,	,	,	Q
139,	-,	,	,	,	,	,	,	,	,	Q
140,	-,	,	,	,	,	,	,	,	,	Q
141,	-,	,	,	,	,	,	,	,	,	Q
142,	-,	,	,	,	,	,	,	,	,	Q
143,	-,	,	,	,	,	,	,	,	,	Q
144,	-,	,	,	,	,	,	,	,	,	Q
145,	-,	,	,	,	,	,	,	,	,	Q
146,	-,	,	,	,	,	,	,	,	,	Q
147,	-,	,	,	,	,	,	,	,	,	Q
148,	-,	,	,	,	,	,	,	,	,	Q
149,	-,	,	,	,	,	,	,	,	,	Q
150,	-,	,	,	,	,	,	,	,	,	Q
151,	-,	,	,	,	,	,	,	,	,	Q
152,	-,	,	,	,	,	,	,	,	,	Q
153,	-,	,	,	,	,	,	,	,	,	Q
154,	-,	,	,	,	,	,	,	,	,	Q
155,	-,	,	,	,	,	,	,	,	,	Q
156,	-,	,	,	,	,	,	,	,	,	Q
157,	-,	,	,	,	,	,	,	,	,	Q
158,	-,	,	,	,	,	,	,	,	,	Q
159,	-,	,	,	,	,	,	,	,	,	Q
160,	-,	,	,	,	,	,	,	,	,	Q
161,	-,	,	,	,	,	,	,	,	,	Q
162,	-,	,	,	,	,	,	,	,	,	Q
163,	-,	,	,	,	,	,	,	,	,	Q
164,	-,	,	,	,	,	,	,	,	,	Q
165,	-,	,	,	,	,	,	,	,	,	Q
166,	-,	,	,	,	,	,	,	,	,	Q
167,	-,	,	,	,	,	,	,	,	,	Q
168,	-,	,	,	,	,	,	,	,	,	Q
169,	-,	,	,	,	,	,	,	,	,	Q
170,	-,	,	,	,	,	,	,	,	,	Q
171,	-,	,	,	,	,	,	,	,	,	Q
172,	-,	,	,	,	,	,	,	,	,	Q
173,	-,	,	,	,	,	,	,	,	,	Q
174,	-,	,	,	,	,	,	,	,	,	Q
175,	-,	,	,	,	,	,	,	,	,	Q
176,	-,	,	,	,	,	,	,	,	,	Q
177,	-,	,	,	,	,	,	,	,	,	Q
178,	-,	,	,	,	,	,	,	,	,	Q
179,	-,	,	,	,	,	,	,	,	,	Q
180,	-,	,	,	,	,	,	,	,	,	Q
181,	-,	,	,	,	,	,	,	,	,	Q
182,	-,	,	,	,	,	,	,	,	,	Q
183,	-,	,	,	,	,	,	,	,	,	Q
184,	-,	,	,	,	,	,	,	,	,	Q
185,	-,	,	,	,	,	,	,	,	,	Q
186,	-,	,	,	,	,	,	,	,	,	Q
187,	-,	,	,	,	,	,	,	,	,	Q
188,	-,	,	,	,	,	,	,	,	,	Q
189,	-,	,	,	,	,	,	,	,	,	Q
190,	-,	,	,	,	,	,	,	,	,	Q
191,	-,	,	,	,	,	,	,	,	,	Q
192,	-,	,	,	,	,	,	,	,	,	Q
193,	-,	,	,	,	,	,	,	,	,	Q
194,	-,	,	,	,	,	,	,	,	,	Q
195,	-,	,	,	,	,	,	,	,	,	Q
196,	-,	,	,	,	,	,	,	,	,	Q
197,	-,	,	,	,	,	,	,	,	,	Q
198,	-,	,	,	,	,	,	,	,	,	Q
199,	-,	,	,	,	,	,	,	,	,	Q
200,	-,	,	,	,	,	,	,	,	,	Q
