==================================================
PLC_InterfaceR_IN (2021-09-25 23:00:44)
==================================================
No,	Address,	Count,	Description
90,	R1589,	1,	A_Rx-오차값 (0.01 mm)
91,	R1590,	1,	A_Rx+오차값 (0.01 mm)
92,	R1591,	1,	A_Ry-오차값 (0.01 mm)
93,	R1592,	1,	A_Ry+오차값 (0.01 mm)
94,	R1593,	1,	B_Rx-오차값 (0.01 mm)
95,	R1594,	1,	B_Rx+오차값 (0.01 mm)
96,	R1595,	1,	B_Ry-오차값 (0.01 mm)
97,	R1596,	1,	B_Ry+오차값 (0.01 mm)
98,	R1597,	1,	
99,	R1598,	1,	
100,	R1599,	1,	
101,	R1600,	1,	
102,	R1601,	1,	
103,	R1602,	1,	
104,	R1603,	1,	
105,	R1604,	1,	
106,	R1605,	1,	
107,	R1606,	1,	
108,	R1607,	1,	Upper Sheet
109,	R1608,	1,	Lower Sheet
110,	R1609,	1,	
